alert_id,transaction_id,client_id,date,hour,amount,transaction_type,counterparty_country,alert_confidence,ml_suspicion_score,reason_codes,explanation,is_suspicious
AML-2024-0001,TXN_09576,CLIENT_038,2025-10-16,20,20655.27,CASH_DEPOSIT,Switzerland,CRITICAL,0.7065340268892767,LARGE_TRANSFER|HIGH_RISK_JURISDICTION|CASH_TRANSACTION,"Flagged because: unusually large transfer (GBP 20,655.27); high-risk jurisdiction (Switzerland - FATF monitored); cash-based transaction (CASH_DEPOSIT).",0
AML-2024-0002,TXN_06928,CLIENT_048,2025-03-16,3,52662.59,CASH_WITHDRAWAL,France,CRITICAL,0.7122424506713352,LARGE_TRANSFER|UNUSUAL_HOURS|CASH_TRANSACTION,"Flagged because: unusually large transfer (GBP 52,662.59); transaction outside business hours (03:00); cash-based transaction (CASH_WITHDRAWAL).",0
AML-2024-0003,TXN_00391,CLIENT_034,2024-08-01,3,1705.39,CASH_WITHDRAWAL,Cayman Islands,CRITICAL,0.7200735149970816,UNUSUAL_HOURS|HIGH_RISK_JURISDICTION|CASH_TRANSACTION,Flagged because: transaction outside business hours (03:00); high-risk jurisdiction (Cayman Islands - FATF monitored); cash-based transaction (CASH_WITHDRAWAL).,0
AML-2024-0004,TXN_09900,CLIENT_032,2024-09-17,16,66801.62,CASH_WITHDRAWAL,Russia,CRITICAL,0.7397468679270469,LARGE_TRANSFER|HIGH_RISK_JURISDICTION|CASH_TRANSACTION,"Flagged because: unusually large transfer (GBP 66,801.62); high-risk jurisdiction (Russia - FATF monitored); cash-based transaction (CASH_WITHDRAWAL).",1
AML-2024-0005,TXN_03566,CLIENT_029,2025-07-28,2,946.86,CASH_WITHDRAWAL,Cayman Islands,CRITICAL,0.749264095835827,UNUSUAL_HOURS|HIGH_RISK_JURISDICTION|CASH_TRANSACTION,Flagged because: transaction outside business hours (02:00); high-risk jurisdiction (Cayman Islands - FATF monitored); cash-based transaction (CASH_WITHDRAWAL).,1
AML-2024-0006,TXN_09073,CLIENT_012,2024-02-19,14,56531.11,CASH_DEPOSIT,British Virgin Islands,CRITICAL,0.7528702580106874,LARGE_TRANSFER|HIGH_RISK_JURISDICTION|CASH_TRANSACTION|ML_HIGH_CONFIDENCE,"Flagged because: unusually large transfer (GBP 56,531.11); high-risk jurisdiction (British Virgin Islands - FATF monitored); cash-based transaction (CASH_DEPOSIT); ML high confidence (score: 0.75).",0
AML-2024-0007,TXN_07661,CLIENT_013,2024-08-17,18,20846.86,CASH_WITHDRAWAL,France,CRITICAL,0.7529356215864194,LARGE_TRANSFER|CASH_TRANSACTION|ML_HIGH_CONFIDENCE,"Flagged because: unusually large transfer (GBP 20,846.86); cash-based transaction (CASH_WITHDRAWAL); ML high confidence (score: 0.75).",1
AML-2024-0008,TXN_02706,CLIENT_013,2024-09-13,20,34466.27,ONLINE_PAYMENT,Russia,CRITICAL,0.7589293975341695,LARGE_TRANSFER|HIGH_RISK_JURISDICTION|ML_HIGH_CONFIDENCE,"Flagged because: unusually large transfer (GBP 34,466.27); high-risk jurisdiction (Russia - FATF monitored); ML high confidence (score: 0.76).",1
AML-2024-0009,TXN_06509,CLIENT_023,2025-08-31,20,9734.63,CASH_WITHDRAWAL,UK,CRITICAL,0.7591053189833691,STRUCTURING|CASH_TRANSACTION|ML_HIGH_CONFIDENCE,"Flagged because: structuring pattern detected (GBP 9,734.63 in threshold range); cash-based transaction (CASH_WITHDRAWAL); ML high confidence (score: 0.76).",0
AML-2024-0010,TXN_02747,CLIENT_018,2024-11-18,22,7592.59,TRANSFER,Panama,CRITICAL,0.7593114489280005,STRUCTURING|HIGH_RISK_JURISDICTION|ML_HIGH_CONFIDENCE,"Flagged because: structuring pattern detected (GBP 7,592.59 in threshold range); high-risk jurisdiction (Panama - FATF monitored); ML high confidence (score: 0.76).",1
AML-2024-0011,TXN_08080,CLIENT_036,2024-12-04,9,6665.91,CASH_DEPOSIT,Panama,CRITICAL,0.7613115348802267,HIGH_RISK_JURISDICTION|CASH_TRANSACTION|ML_HIGH_CONFIDENCE,Flagged because: high-risk jurisdiction (Panama - FATF monitored); cash-based transaction (CASH_DEPOSIT); ML high confidence (score: 0.76).,1
AML-2024-0012,TXN_03036,CLIENT_032,2024-07-14,11,8899.57,TRANSFER,Cayman Islands,CRITICAL,0.9824519105819205,STRUCTURING|HIGH_RISK_JURISDICTION|ML_HIGH_CONFIDENCE,"Flagged because: structuring pattern detected (GBP 8,899.57 in threshold range); high-risk jurisdiction (Cayman Islands - FATF monitored); ML high confidence (score: 0.98).",1
AML-2024-0013,TXN_07319,CLIENT_028,2024-07-04,13,7935.74,CASH_DEPOSIT,Russia,CRITICAL,0.9827479833503631,STRUCTURING|HIGH_RISK_JURISDICTION|CASH_TRANSACTION|ML_HIGH_CONFIDENCE,"Flagged because: structuring pattern detected (GBP 7,935.74 in threshold range); high-risk jurisdiction (Russia - FATF monitored); cash-based transaction (CASH_DEPOSIT); ML high confidence (score: 0.98).",1
AML-2024-0014,TXN_04906,CLIENT_028,2025-06-20,16,9132.99,CASH_DEPOSIT,Panama,CRITICAL,0.9897140640167685,STRUCTURING|HIGH_RISK_JURISDICTION|CASH_TRANSACTION|ML_HIGH_CONFIDENCE,"Flagged because: structuring pattern detected (GBP 9,132.99 in threshold range); high-risk jurisdiction (Panama - FATF monitored); cash-based transaction (CASH_DEPOSIT); ML high confidence (score: 0.99).",1
AML-2024-0015,TXN_01005,CLIENT_047,2024-10-28,19,9553.11,CARD_PAYMENT,Panama,CRITICAL,0.9726334802880718,STRUCTURING|HIGH_RISK_JURISDICTION|ML_HIGH_CONFIDENCE,"Flagged because: structuring pattern detected (GBP 9,553.11 in threshold range); high-risk jurisdiction (Panama - FATF monitored); ML high confidence (score: 0.97).",1
AML-2024-0016,TXN_04624,CLIENT_011,2024-11-15,13,9426.05,CASH_DEPOSIT,UK,CRITICAL,0.9729430132694241,STRUCTURING|CASH_TRANSACTION|ML_HIGH_CONFIDENCE,"Flagged because: structuring pattern detected (GBP 9,426.05 in threshold range); cash-based transaction (CASH_DEPOSIT); ML high confidence (score: 0.97).",1
AML-2024-0017,TXN_03286,CLIENT_049,2024-07-02,2,5110.89,CASH_WITHDRAWAL,UK,CRITICAL,0.7651426957139489,UNUSUAL_HOURS|CASH_TRANSACTION|ML_HIGH_CONFIDENCE,Flagged because: transaction outside business hours (02:00); cash-based transaction (CASH_WITHDRAWAL); ML high confidence (score: 0.77).,1
AML-2024-0018,TXN_01608,CLIENT_032,2025-06-07,17,6510.17,CASH_WITHDRAWAL,Switzerland,CRITICAL,0.7652733333499588,HIGH_RISK_JURISDICTION|CASH_TRANSACTION|ML_HIGH_CONFIDENCE,Flagged because: high-risk jurisdiction (Switzerland - FATF monitored); cash-based transaction (CASH_WITHDRAWAL); ML high confidence (score: 0.77).,1
AML-2024-0019,TXN_00598,CLIENT_001,2024-10-03,2,64969.35,CASH_WITHDRAWAL,Germany,CRITICAL,0.7685102434090817,LARGE_TRANSFER|UNUSUAL_HOURS|CASH_TRANSACTION|ML_HIGH_CONFIDENCE,"Flagged because: unusually large transfer (GBP 64,969.35); transaction outside business hours (02:00); cash-based transaction (CASH_WITHDRAWAL); ML high confidence (score: 0.77).",0
